         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   152423    0.155    0.000    0.738    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/path.py:99(__init__)
     4352    0.011    0.000    0.737    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:849(update_from_path)
17425/17391    0.022    0.000    0.730    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
     4352    0.721    0.000    0.722    0.000 {built-in method matplotlib._path.update_path_extents}
   129574    0.136    0.000    0.720    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/path.py:191(_create_closed)
2172/1631    0.017    0.000    0.698    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:906(update_scalarmappable)
13056/8704    0.010    0.000    0.696    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:2349(setter)
29376/16320    0.050    0.000    0.691    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:881(_unstale_viewLim)
 1087/858    0.008    0.000    0.691    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/ndimage/_filters.py:326(gaussian_filter)
     2176    0.005    0.000    0.676    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:1251(_gen_axes_spines)
26112/13056    0.009    0.000    0.674    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:895(viewLim)
     8704    0.012    0.000    0.671    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/spines.py:433(linear_spine)
   694552    0.224    0.000    0.652    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:278(to_rgba)
17408/17399    0.061    0.000    0.618    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:302(_apply_params)
83776/83762    0.025    0.000    0.616    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1340(__add__)
    14144    0.055    0.000    0.609    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:48(__init__)
    587/7    0.001    0.000    0.608    0.087 <frozen importlib._bootstrap>:911(_load_unlocked)
  1577/19    0.001    0.000    0.606    0.032 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    496/7    0.001    0.000    0.598    0.085 <frozen importlib._bootstrap_external>:1020(exec_module)
    627/8    0.001    0.000    0.597    0.075 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
85952/85938    0.046    0.000    0.593    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2498(composite_transform_factory)
    513/7    0.002    0.000    0.593    0.085 {built-in method builtins.exec}
    10880    0.111    0.000    0.592    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:419(to_rgba_array)
     2176    0.045    0.000    0.588    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:2946(autoscale_view)
     8704    0.035    0.000    0.585    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/spines.py:35(__init__)
    32640    0.041    0.000    0.574    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:194(update)
4352/4350    0.036    0.000    0.559    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:612(__init__)
   298/40    0.001    0.000    0.540    0.013 {built-in method builtins.__import__}
11894/10106    0.008    0.000    0.537    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
5219644/5218406    0.386    0.000    0.535    0.000 {built-in method builtins.isinstance}
41344/41325    0.031    0.000    0.533    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/text.py:1316(set_fontproperties)
405824/405480    0.087    0.000    0.506    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:414(pchanged)
2171424/1913725    0.283    0.000    0.490    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:315(stale)
  1912784    0.272    0.000    0.490    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/__init__.py:698(_get)
      525    0.000    0.000    0.480    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/messages.py:242(__getitem__)
435616/427185    0.252    0.000    0.476    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:348(process)
     4352    0.045    0.000    0.475    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3005(handle_single_axis)
     2176    0.051    0.000    0.475    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/figure.py:2464(__init__)
    17408    0.019    0.000    0.472    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1243(_cm_set)
   200192    0.358    0.000    0.467    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:1752(normalize_kwargs)
     2176    0.004    0.000    0.461    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:2374(__init__)
902368/901982    0.389    0.000    0.458    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
    92480    0.211    0.000    0.450    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:179(__init__)
4352/4330    0.008    0.000    0.445    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:761(_set_scale)
254610/245906    0.065    0.000    0.443    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:145(__exit__)
4352/4350    0.014    0.000    0.437    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:3464(tick_params)
    32640    0.095    0.000    0.431    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/artist.py:1215(update)
